League;Season;Date;Home;Away;FT_Goals_H;FT_Goals_A;FT_Odd_H;FT_Odd_D;FT_Odd_A;FT_Odd_Over25;FT_Result;Profit_Back_H;Profit_Back_D;Profit_Back_A;Profit_Lay_H;Profit_Lay_D;Profit_Lay_A;p_H;p_D;p_A;p_Over;p_H__p_D;p_H__p_A;p_D__p_A;p_D__p_Over;Media_SG_H;Media_SG_A;DesvPad_SG_H;DesvPad_SG_A;CV_SG_H;CV_SG_A;Media_Ptos_H;Media_Ptos_A;DesvPad_Ptos_H;DesvPad_Ptos_A;CV_Ptos_H;CV_Ptos_A;Media_VG_H;Media_VG_A;DesvPad_VG_H;DesvPad_VG_A;CV_VG_H;CV_VG_A;Media_CG_H;Media_CG_A;DesvPad_CG_H;DesvPad_CG_A;CV_CG_H;CV_CG_A;CV_HDA;CV_HD;CV_HA;CV_DA;CV_DO;Media_Odd_H;DesvPad_Odd_H;CV_Odd_H;Media_Odd_A;DesvPad_Odd_A;CV_Odd_A;FT_Odd_HA_DNB_H;FT_Odd_HA_DNB_A;Profit_HA_0_H;Profit_HA_0_A
SPAIN - LALIGA2;2021/2022;06/11/2021;Fuenlabrada;Eibar;0;0;3;2,9;2,6;2,5;D;-1;1,9;-1;0,43;-1;0,53;0,3333;0,3448;0,3846;0,4;0,9667;0,8667;0,8966;0,8621;0;-0,6;0,8165;1,7127;1;-2,8545;1,3;1,4;1,2517;1,4298;0,9628;1,0213;0,3429;0,4005;0,2372;0,31;0,6918;0,7742;0,3354;0,3085;0,1225;0,1378;0,3652;0,4467;0,062;0,0169;0,0714;0,0545;0,0741;2,49;0,5517;0,2216;2,98;0,7931;0,2661;2,02;1,83;0;0
SPAIN - LALIGA2;2021/2022;31/10/2021;Fuenlabrada;Girona;1;2;2,6;2,9;3;2,7;A;-1;-1;2,04;0,53;0,45;-1;0,3846;0,3448;0,3333;0,3704;1,1154;1,1538;1,0345;0,931;0,1;0,2;0,7379;1,3984;7,3786;6,9921;1,4;1,5;1,1738;1,354;0,8384;0,9027;0,3571;0,3978;0,2408;0,4639;0,6743;1,1662;0,3202;0,2804;0,123;0,1686;0,3842;0,6011;0,062;0,0545;0,0714;0,0169;0,0357;2,42;0,5798;0,2396;3,13;0,9402;0,3004;1,83;2,02;-1;1,02
VENEZUELA - PRIMERA DIVISION;2021;30/10/2021;Portuguesa;Aragua;1;1;2,43;2,9;2,7;2,33;D;-1;1,9;-1;0,59;-1;0,5;0,4115;0,3448;0,3704;0,4292;1,1934;1,1111;0,931;0,8034;0,3;-0,6;1,0593;2,0111;3,5312;-3,3518;1,4;1,2;1,1738;1,3166;0,8384;1,0971;0,2094;0,3954;0,2926;0,3203;1,3974;0,8103;0,5862;0,2804;0,2763;0,0974;0,4713;0,3472;0,0732;0,0882;0,0526;0,0357;0,109;1,854;0,6793;0,3664;3,181;0,5967;0,1876;1,86;1,98;0;0
FRANCE - LIGUE 2;2021/2022;30/10/2021;Dunkerque;Le Havre;1;0;2,8;2,9;2,5;2,6;H;1,84;-1;-1;-1;0,45;0,57;0,3571;0,3448;0,4;0,3846;1,0357;0,8929;0,8621;0,8966;-0,2;0,5;1,2293;0,8498;-6,1464;1,6997;1,1;1,6;1,1005;0,9661;1,0005;0,6038;0,3246;0,5343;0,3147;0,3638;0,9697;0,681;0,3513;0,2103;0,1567;0,104;0,446;0,4947;0,0644;0,0175;0,0566;0,0741;0,0545;2,862;1,0635;0,3716;4;1,9305;0,4826;2,02;1,83;1,02;-1
BRAZIL - SERIE C;2021;23/10/2021;Paysandu PA;Ituano;1;4;2,45;2,9;2,75;2,63;A;-1;-1;1,8;0,58;0,45;-1;0,4082;0,3448;0,3636;0,3802;1,1837;1,1224;0,9483;0,9069;0,2;0,2;1,3984;0,7888;6,9921;3,9441;1,6;1,6;1,2649;1,2649;0,7906;0,7906;0,1963;0,3421;0,1971;0,3808;1,0041;1,1129;0,4399;0,3172;0,1555;0,1522;0,3536;0,4799;0,0714;0,0841;0,0577;0,0265;0,0488;2,026;0,2874;0,1418;3,005;0,7301;0,243;1,82;2,03;-1;1,03
PERU - LIGA 1;2021;18/10/2021;Cesar Vallejo;Sport Huancayo;0;0;2,55;2,9;2,7;2,3;D;-1;1,9;-1;0,55;-1;0,5;0,3922;0,3448;0,3704;0,4348;1,1373;1,0588;0,931;0,7931;0,6;-0,4;1,4298;1,2649;2,3831;-3,1623;1,7;1,1;1,4181;1,1005;0,8342;1,0005;0,2844;0,2391;0,3005;0,2698;1,0568;1,1287;0,3411;0,315;0,1554;0,0964;0,4554;0,306;0,0524;0,0642;0,0286;0,0357;0,1154;2,099;0,4304;0,2051;2,879;0,6386;0,2218;1,88;1,93;0;0
ARGENTINA - LIGA PROFESIONAL;2021;17/10/2021;Atl. Tucuman;Argentinos Jrs;4;3;2,62;2,9;2,9;2,4;H;1,66;-1;-1;-1;0,45;0,45;0,3817;0,3448;0,3448;0,4167;1,1069;1,1069;1;0,8276;0;0;1,0541;1,1547;1;1;1,2;1,3;1,0328;1,2517;0,8607;0,9628;0,365;0,2064;0,3748;0,2382;1,027;1,1539;0,2436;0,3417;0,1156;0,1365;0,4746;0,3996;0,0486;0,0507;0,0507;0;0,0943;3,111;1,5398;0,495;3,474;2,1679;0,624;1,83;2,02;0,83;-1
ITALY - SERIE B;2021/2022;16/10/2021;L.R. Vicenza;Reggina;0;1;2,7;2,9;2,9;2,3;A;-1;-1;1,94;0,5;0,45;-1;0,3704;0,3448;0,3448;0,4348;1,0741;1,0741;1;0,7931;-0,6;0,2;1,7127;1,3984;-2,8545;6,9921;1,2;1,2;1,5492;1,0328;1,291;0,8607;0,3167;0,5726;0,3491;0,5834;1,1023;1,0188;0,304;0,2193;0,1264;0,1231;0,4159;0,5614;0,0341;0,0357;0,0357;0;0,1154;2,832;0,6627;0,234;3,625;0,7907;0,2181;1,8;2,05;-1;1,05
ARGENTINA - LIGA PROFESIONAL;2021;03/10/2021;Racing Club;Estudiantes L.P.;1;1;2,75;2,9;2,62;2,7;D;-1;1,9;-1;0,49;-1;0,53;0,3636;0,3448;0,3817;0,3704;1,0545;0,9527;0,9034;0,931;0,3;0,3;0,8233;1,567;2,7442;5,2234;1,5;1,6;1,0801;1,2649;0,7201;0,7906;0,2171;0,4274;0,173;0,2653;0,7969;0,6208;0,4365;0,2618;0,1251;0,0875;0,2866;0,3344;0,0414;0,0265;0,0242;0,0507;0,0357;2,159;0,3898;0,1805;2,727;0,7057;0,2588;2;1,85;0;0
BRAZIL - SERIE A;2021;26/09/2021;Juventude;Santos;3;0;2,7;2,9;2,62;2,7;H;1,74;-1;-1;-1;0,45;0,53;0,3704;0,3448;0,3817;0,3704;1,0741;0,9704;0,9034;0,931;0;-0,7;1,4142;1,1595;1;-1,6564;1,5;0,7;1,354;0,9487;0,9027;1,3553;0,4505;0,4649;0,289;0,5059;0,6414;1,0881;0,2962;0,226;0,1335;0,156;0,4508;0,6902;0,0422;0,0357;0,015;0,0507;0,0357;3,907;1,658;0,4244;3,752;1,2206;0,3253;1,98;1,88;0,98;-1
BRAZIL - SERIE B;2021;21/09/2021;Avai;Goias;1;0;2,5;2,9;2,75;2,55;H;1,54;-1;-1;-1;0,45;0,49;0,4;0,3448;0,3636;0,3922;1,16;1,1;0,9483;0,8793;0,6;0,4;1,075;0,9661;1,7916;2,4152;2;1,8;1,3333;1,3166;0,6667;0,7314;0,3778;0,4099;0,2994;0,2328;0,7925;0,568;0,4083;0,3394;0,1682;0,0976;0,4119;0,2875;0,062;0,0741;0,0476;0,0265;0,0642;2,117;0,326;0,154;2,61;0,5199;0,1992;1,79;1,97;0,79;-1
ROMANIA - LIGA 1;2021/2022;11/09/2021;FC Arges;U Craiova 1948;1;0;2,5;2,9;3;2,87;H;1,54;-1;-1;-1;0,45;0,43;0,4;0,3448;0,3333;0,3484;1,16;1,2;1,0345;0,9897;0,3;0,2;1,7029;1,2293;5,6765;6,1464;1,1;1,4;1,3703;1,4298;1,2457;1,0213;0,39;0,5635;0,4872;0,4952;1,2495;0,8789;0,2195;0,2812;0,1343;0,1714;0,612;0,6094;0,081;0,0741;0,0909;0,0169;0,0052;2,71;0,7767;0,2866;3,018;1,9799;0,656;1,73;2,08;0,73;-1
VENEZUELA - PRIMERA DIVISION;2021;04/09/2021;Gran Valencia;Lara;0;5;2,62;2,96;2,86;2,46;A;-1;-1;1,9;0,53;0,44;-1;0,3817;0,3378;0,3497;0,4065;1,1298;1,0916;0,9662;0,8311;0,1;0,3;1,1972;2,0028;11,9722;6,6759;1,7;1,5;1,1595;1,354;0,6821;0,9027;0,3574;0,5272;0,4195;0,4692;1,1735;0,8899;0,3841;0,234;0,2284;0,155;0,5945;0,6627;0,052;0,0609;0,0438;0,0172;0,0923;3,517;2,7332;0,7771;2,248;0,6431;0,2861;1,84;2,01;-1;1,01
BRAZIL - SERIE C;2021;04/09/2021;Botafogo SP;Novorizontino;1;4;2,7;2,9;2,55;2,6;A;-1;-1;1,59;0,5;0,45;-1;0,3704;0,3448;0,3922;0,3846;1,0741;0,9444;0,8793;0,8966;0,1;0,4;1,4491;1,3499;14,4914;3,3747;1,8;1,5;1,5492;1,354;0,8607;0,9027;0,4377;0,4771;0,2866;0,3767;0,6547;0,7896;0,351;0,3633;0,152;0,194;0,4331;0,5338;0,0524;0,0357;0,0286;0,0642;0,0545;2,48;0,4979;0,2008;2,275;0,4596;0,202;2,1;1,77;-1;0,77
ARGENTINA - LIGA PROFESIONAL;2021;30/08/2021;San Lorenzo;Patronato;3;0;2,62;2,9;2,75;2,4;H;1,66;-1;-1;-1;0,45;0,49;0,3817;0,3448;0,3636;0,4167;1,1069;1,0496;0,9483;0,8276;0;-0,6;0,6667;1,2649;1;-2,1082;1,2;0,7;1,0328;0,9487;0,8607;1,3553;0,463;0,5207;0,3529;0,5686;0,7621;1,0919;0,306;0,1709;0,1373;0,0686;0,4487;0,4012;0,0414;0,0507;0,0242;0,0265;0,0943;2,975;0,8084;0,2717;4,248;0,9753;0,2296;2,05;1,8;1,05;-1
BRAZIL - SERIE B;2021;03/08/2021;Brusque;Coritiba;0;0;2,55;2,9;2,65;2,55;D;-1;1,9;-1;0,55;-1;0,52;0,3922;0,3448;0,3774;0,3922;1,1373;1,0392;0,9138;0,8793;0;-0,4;2,708;1,5776;1;-3,9441;1,8;1,3;1,3166;1,4944;0,7314;1,1496;0,4651;0,3857;0,4112;0,3831;0,8839;0,9933;0,2722;0,2372;0,1646;0,1238;0,6049;0,522;0,0532;0,0642;0,0192;0,045;0,0642;2,316;0,4301;0,1857;4,191;2,458;0,5865;1,9;1,97;0;0
COLOMBIA - PRIMERA A;2021;31/07/2021;Ind. Medellin;Junior;0;0;2,5;2,9;2,87;2,7;D;-1;1,9;-1;0,57;-1;0,46;0,4;0,3448;0,3484;0,3704;1,16;1,148;0,9897;0,931;0,3;-0,4;0,483;1,2649;1,6102;-3,1623;1,6;0,9;0,9661;1,1972;0,6038;1,3302;0,2472;0,2052;0,2158;0,2275;0,873;1,109;0,4196;0,3099;0,1606;0,0759;0,3827;0,2447;0,0692;0,0741;0,0689;0,0052;0,0357;2,421;1,0498;0,4336;2,926;0,8083;0,2763;1,85;1,95;0;0
ROMANIA - LIGA 1;2021/2022;30/07/2021;Gaz Metan Medias;FC Arges;2;2;2,87;2,9;2,62;2,87;D;-1;1,9;-1;0,46;-1;0,53;0,3484;0,3448;0,3817;0,3484;1,0105;0,9129;0,9034;0,9897;0,3;-0,6;1,4944;2,1187;4,9814;-3,5312;1,5;1,3;1,354;1,4944;0,9027;1,1496;0,3922;0,3154;0,4665;0,3329;1,1895;1,0554;0,3016;0,2946;0,1435;0,1139;0,476;0,3868;0,0463;0,0052;0,0455;0,0507;0,0052;3,181;1,6417;0,5161;4,242;2,4846;0,5857;2,02;1,77;0;0
COLOMBIA - PRIMERA A;2021;24/07/2021;Aguilas;America De Cali;1;3;3;2,9;2,55;2,25;A;-1;-1;1,59;0,43;0,45;-1;0,3333;0,3448;0,3922;0,4444;0,9667;0,85;0,8793;0,7759;-0,7;0,5;1,2517;0,9718;-1,7881;1,9437;0,8;1,7;0,9189;1,1595;1,1487;0,6821;0,2404;0,4412;0,2235;0,3469;0,9297;0,7862;0,3518;0,2718;0,1189;0,1209;0,3379;0,4449;0,0714;0,0169;0,0811;0,0642;0,1262;2,57;0,588;0,2288;2,978;1,0958;0,368;1,95;1,85;-1;0,85
BRAZIL - SERIE B;2021;10/07/2021;Confianca;Vitoria;1;1;2,55;2,95;2,63;2,63;D;-1;1,95;-1;0,55;-1;0,52;0,3922;0,339;0,3802;0,3802;1,1569;1,0314;0,8915;0,8915;0;-0,8;1,2472;1,6193;1;-2,0242;1,1;0,9;1,3703;1,1972;1,2457;1,3302;0,327;0,3038;0,4615;0,3588;1,4113;1,1811;0,3751;0,2624;0,1821;0,1004;0,4853;0,3828;0,0615;0,0727;0,0154;0,0573;0,0573;2,485;0,7734;0,3112;3,595;1,0117;0,2814;1,91;1,98;0;0
BRAZIL - SERIE D;2021;19/06/2021;Bahia de Feira;Juazeirense;1;1;2,9;2,9;2,6;2,23;D;-1;1,9;-1;0,45;-1;0,53;0,3448;0,3448;0,3846;0,4484;1;0,8966;0,8966;0,769;0,9;-0,5714;2,0248;1,6183;2,2498;-2,8321;1,5;1;1,354;1;0,9027;1;0,3643;0,433;0,2561;0,2005;0,703;0,4629;0,3204;0,3084;0,1474;0,0764;0,46;0,2476;0,0524;0;0,0545;0,0545;0,1306;2,005;0,966;0,4818;3,7643;1,1943;0,3173;1,95;1,85;0;0
BRAZIL - SERIE D;2021;06/06/2021;Boavista;Sao Bento;0;0;2,71;2,9;2,68;2,32;D;-1;1,9;-1;0,5;-1;0,51;0,369;0,3448;0,3731;0,431;1,0701;0,9889;0,9241;0,8;0,3;-0,4;1,4181;0,9661;4,7271;-2,4152;1,4;0,9;1,4298;1,1972;1,0213;1,3302;0,3921;0,4314;0,3935;0,4969;1,0036;1,1519;0,3193;0,2106;0,1571;0,1147;0,4919;0,5446;0,0345;0,0339;0,0056;0,0394;0,1111;2,307;0,2548;0,1105;5,635;4,211;0,7473;1,9;1,9;0;0
BRAZIL - SERIE C;2021;06/06/2021;Jacuipense;Tombense;1;1;2,85;2,9;2,5;2,55;D;-1;1,9;-1;0,46;-1;0,57;0,3509;0,3448;0,4;0,3922;1,0175;0,8772;0,8621;0,8793;0;-0,7;1,4142;1,3375;1;-1,9107;1,5;0,9;1,354;1,1972;0,9027;1,3302;0,2825;0,342;0,259;0,3437;0,9168;1,0052;0,3593;0,2764;0,1699;0,1083;0,4729;0,3919;0,0676;0,0087;0,0654;0,0741;0,0642;2,496;0,6276;0,2514;3,33;0,839;0,252;2,09;1,74;0;0
BOSNIA AND HERZEGOVINA - PREMIER LEAGUE;2020/2021;30/05/2021;Sloboda;Borac Banja Luka;0;0;2,55;2,9;2,48;2,08;D;-1;1,9;-1;0,55;-1;0,57;0,3922;0,3448;0,4032;0,4808;1,1373;0,9725;0,8552;0,7172;0,6;0,3;1,3499;1,7029;2,2498;5,6765;2;1,6;1,3333;1,5055;0,6667;0,941;0,4134;0,4161;0,2609;0,3676;0,6311;0,8835;0,3066;0,2546;0,1461;0,0784;0,4766;0,3079;0,0666;0,0642;0,0139;0,0781;0,1647;3,119;1,3062;0,4188;2,65;1,3274;0,5009;1,65;2,24;0;0
VENEZUELA - PRIMERA DIVISION;2021;23/05/2021;Yaracuyanos;Aragua;0;1;2,5;2,9;2,63;2,32;A;-1;-1;1,67;0,57;0,45;-1;0,4;0,3448;0,3802;0,431;1,16;1,052;0,9069;0,8;-0,2;-0,3;1,0328;1,4944;-5,164;-4,9814;0,9;1,2;0,8756;1,3166;0,9729;1,0971;0,351;0,3919;0,4384;0,3504;1,2492;0,894;0,4079;0,2131;0,1949;0,0332;0,4779;0,1557;0,0609;0,0741;0,0253;0,0488;0,1111;2,529;0,7273;0,2876;3,743;1,1128;0,2973;1,94;1,9;-1;0,9
ISRAEL - LIGAT HA'AL;2020/2021;09/05/2021;Hapoel Hadera;Netanya;2;2;2,75;2,9;2,45;1,95;D;-1;1,9;-1;0,49;-1;0,58;0,3636;0,3448;0,4082;0,5128;1,0545;0,8909;0,8448;0,6724;0,2;0,4;1,9322;1,3499;9,6609;3,3747;1,7;1,8;1,4181;1,3166;0,8342;0,7314;0,4608;0,4354;0,5056;0,4783;1,0972;1,0984;0,2374;0,3694;0,1227;0,1486;0,5169;0,4022;0,0714;0,0265;0,0577;0,0841;0,1959;3,105;0,4226;0,1361;3,08;2,1032;0,6829;2,02;1,77;0;0
JAPAN - J2 LEAGUE;2021;05/05/2021;Montedio Yamagata;Kofu;2;2;2,7;2,9;2,62;2,4;D;-1;1,9;-1;0,5;-1;0,53;0,3704;0,3448;0,3817;0,4167;1,0741;0,9704;0,9034;0,8276;0,2;0,4;1,9322;1,2649;9,6609;3,1623;1,5;1,5;1,5811;1,354;1,0541;0,9027;0,3967;0,4698;0,37;0,3463;0,9326;0,7371;0,3069;0,2769;0,1502;0,1444;0,4895;0,5214;0,0422;0,0357;0,015;0,0507;0,0943;2,225;0,4354;0,1957;2,84;1,2346;0,4347;1,95;1,9;0;0
ITALY - SERIE B;2020/2021;01/05/2021;Venezia;Chievo;3;1;2,55;2,9;3;2,25;H;1,59;-1;-1;-1;0,45;0,43;0,3922;0,3448;0,3333;0,4444;1,1373;1,1765;1,0345;0,7759;0,3;-0,3;1,567;1,0593;5,2234;-3,5312;1,6;0,8;1,5055;0,9189;0,941;1,1487;0,4144;0,3513;0,3207;0,399;0,7737;1,136;0,2985;0,2954;0,1488;0,1671;0,4984;0,5656;0,0714;0,0642;0,0811;0,0169;0,1262;2,1;0,3866;0,1841;2,633;0,9589;0,3642;1,7;2,1;0,7;-1
FRANCE - LIGUE 2;2020/2021;20/04/2021;Nancy;AC Ajaccio;2;0;2,7;2,9;2,9;2,4;H;1,74;-1;-1;-1;0,45;0,45;0,3704;0,3448;0,3448;0,4167;1,0741;1,0741;1;0,8276;0,1;-0,7;0,7379;1,4181;7,3786;-2,0259;1,4;0,7;1,1738;0,9487;0,8384;1,3553;0,4821;0,2386;0,2801;0,2552;0,5811;1,0697;0,2839;0,3727;0,1217;0,1453;0,4286;0,3899;0,0341;0,0357;0,0357;0;0,0943;2,88;0,9572;0,3324;3,095;1,0273;0,3319;1,85;2;0,85;-1
TURKEY - SUPER LIG;2020/2021;20/04/2021;Rizespor;Konyaspor;5;3;2,6;2,9;2,9;2,2;H;1,65;-1;-1;-1;0,45;0,45;0,3846;0,3448;0,3448;0,4545;1,1154;1,1154;1;0,7586;0,3;-0,4;1,2517;1,1738;4,1722;-2,9345;1,5;1,1;1,0801;1,3703;0,7201;1,2457;0,3677;0,584;0,4554;0,33;1,2387;0,5651;0,3163;0,23;0,1527;0,0773;0,4828;0,3362;0,0524;0,0545;0,0545;0;0,1373;2,735;0,4708;0,1722;3,84;1,1062;0,2881;1,8;2,05;0,8;-1
ARMENIA - PREMIER LEAGUE;2020/2021;14/04/2021;Van;Pyunik Yerevan;0;3;2,65;2,9;2,48;2,63;A;-1;-1;1,52;0,52;0,45;-1;0,3774;0,3448;0,4032;0,3802;1,0943;0,9358;0,8552;0,9069;0,1111;0,1;1,3642;1,2867;12,278;12,8668;1,3333;1,3;1,5811;1,4944;1,1859;1,1496;0,3784;0,2917;0,4934;0,333;1,3039;1,1418;0,2739;0,2675;0,1287;0,0951;0,47;0,3556;0,0637;0,045;0,0331;0,0781;0,0488;2,9;0,8284;0,2856;3,088;1,093;0,3539;2,1;1,77;-1;0,77
COLOMBIA - PRIMERA A;2021;01/04/2021;La Equidad;Dep. Cali;2;5;2,75;2,9;2,75;2,7;A;-1;-1;1,8;0,49;0,45;-1;0,3636;0,3448;0,3636;0,3704;1,0545;1;0,9483;0,931;0,7;0;0,6749;1,2472;0,9642;1;2,2;1,6;1,0328;1,2649;0,4695;0,7906;0,3516;0,3135;0,1836;0,2597;0,5221;0,8282;0,3633;0,3997;0,1648;0,1412;0,4535;0,3532;0,0248;0,0265;0;0,0265;0,0357;2,568;1,0147;0,3951;2,509;0,6523;0,26;1,9;1,9;-1;0,9
COLOMBIA - PRIMERA A;2021;21/03/2021;Ind. Medellin;Dep. Pasto;2;2;2,7;2,9;2,7;2,7;D;-1;1,9;-1;0,5;-1;0,5;0,3704;0,3448;0,3704;0,3704;1,0741;1;0,931;0,931;0,2;-0,4;0,7888;1,075;3,9441;-2,6874;1,6;1;1,2649;1,1547;0,7906;1,1547;0,2899;0,4562;0,2344;0,4143;0,8085;0,9082;0,4452;0,3011;0,1621;0,148;0,3641;0,4917;0,0333;0,0357;0;0,0357;0,0357;2,249;0,6918;0,3076;3,77;1,5358;0,4074;1,9;1,9;0;0
ENGLAND - CHAMPIONSHIP;2020/2021;13/03/2021;Nottingham;Reading;1;1;2,62;2,9;3;2,62;D;-1;1,9;-1;0,53;-1;0,43;0,3817;0,3448;0,3333;0,3817;1,1069;1,145;1,0345;0,9034;0,1;0,2;1,2867;1,1353;12,8668;5,6765;1,3;1,6;1,2517;1,2649;0,9628;0,7906;0,2728;0,2956;0,336;0,2871;1,2318;0,9713;0,2812;0,2964;0,1171;0,1108;0,4166;0,3738;0,0584;0,0507;0,0676;0,0169;0,0507;2,696;0,5782;0,2145;2,953;0,9026;0,3056;1,83;2,07;0;0
CROATIA - PRVA NL;2020/2021;27/02/2021;Solin;Opatija;1;1;2,55;2,9;2,55;2,1;D;-1;1,9;-1;0,55;-1;0,55;0,3922;0,3448;0,3922;0,4762;1,1373;1;0,8793;0,7241;0,1;0,3333;0,9944;1,7321;9,9443;5,1962;1,3;1,6667;1,2517;1,3229;0,9628;0,7937;0,371;0,6879;0,4093;0,5079;1,1033;0,7383;0,4002;0,2558;0,1777;0,103;0,444;0,4027;0,0593;0,0642;0;0,0642;0,16;2,183;0,4296;0,1968;2,7856;0,6134;0,2202;1,78;2,04;0;0
EGYPT - PREMIER LEAGUE;2020/2021;26/02/2021;Al Masry;Ceramica Cleopatra;2;2;2,8;2,9;2,55;2,7;D;-1;1,9;-1;0,47;-1;0,55;0,3571;0,3448;0,3922;0,3704;1,0357;0,9107;0,8793;0,931;0,5;0,5;1,2693;1,2247;2,5386;2,4495;1,6;1,5;1,2649;1,2247;0,7906;0,8165;0,2397;0,4468;0,2866;0,2972;1,1957;0,6652;0,3184;0,3063;0,192;0,148;0,6031;0,4832;0,055;0,0175;0,0467;0,0642;0,0357;2,408;0,9176;0,3811;2,8033;0,701;0,2501;2;1,8;0;0
PORTUGAL - LIGA PORTUGAL 2;2020/2021;23/02/2021;Oliveirense;Vilafranquense;2;2;2,8;2,9;2,62;2,5;D;-1;1,9;-1;0,47;-1;0,53;0,3571;0,3448;0,3817;0,4;1,0357;0,9357;0,9034;0,8621;-0,5;-0,3;1,1785;0,9487;-2,357;-3,1623;0,9;1;1,1972;1,1547;1,3302;1,1547;0,3245;0,5578;0,3163;0,3741;0,9748;0,6707;0,2834;0,2121;0,1313;0,0901;0,4631;0,4247;0,0424;0,0175;0,0332;0,0507;0,0741;3,083;1,1255;0,3651;4,44;1,311;0,2953;2;1,85;0;0
SCOTLAND - PREMIERSHIP;2020/2021;20/02/2021;St. Mirren;Livingston;1;1;3;2,9;2,6;2,75;D;-1;1,9;-1;0,43;-1;0,53;0,3333;0,3448;0,3846;0,3636;0,9667;0,8667;0,8966;0,9483;-0,5;0,5;1,6499;1,8409;-3,2998;3,6818;1;2;1,1547;1,3333;1,1547;0,6667;0,3157;0,4984;0,3838;0,4515;1,2158;0,9059;0,3388;0,2417;0,1654;0,1521;0,4883;0,6295;0,062;0,0169;0,0714;0,0545;0,0265;3,779;2,6411;0,6989;3,686;3,0747;0,8342;2,1;1,77;0;0
SPAIN - LALIGA2;2020/2021;19/02/2021;Ponferradina;Mirandes;1;0;2,9;2,9;2,55;2,5;H;1,94;-1;-1;-1;0,45;0,55;0,3448;0,3448;0,3922;0,4;1;0,8793;0,8793;0,8621;0,1;0;1,5239;1,4142;15,2388;1;1,8;1,3;1,3166;1,4944;0,7314;1,1496;0,4253;0,3282;0,454;0,2838;1,0675;0,8648;0,269;0,3039;0,125;0,1157;0,4648;0,3808;0,0619;0;0,0642;0,0642;0,0741;2,78;0,7517;0,2704;3,553;1,4401;0,4053;2,05;1,8;1,05;-1
FRANCE - LIGUE 2;2020/2021;02/02/2021;Sochaux;AC Ajaccio;0;2;2,62;2,9;2,9;2,87;A;-1;-1;1,94;0,53;0,45;-1;0,3817;0,3448;0,3448;0,3484;1,1069;1,1069;1;0,9897;0,2;-0,7;1,6193;1,767;8,0966;-2,5243;1,3;1;1,2517;1,1547;0,9628;1,1547;0,4227;0,3969;0,4251;0,4027;1,0056;1,0146;0,2911;0,3091;0,1694;0,1595;0,5819;0,5162;0,0486;0,0507;0,0507;0;0,0052;2,45;0,5191;0,2119;3,213;0,8838;0,2751;1,88;1,98;-1;0,98
ENGLAND - CHAMPIONSHIP;2020/2021;30/01/2021;Birmingham;Coventry;1;1;3;2,9;2,7;3;D;-1;1,9;-1;0,43;-1;0,5;0,3333;0,3448;0,3704;0,3333;0,9667;0,9;0,931;1,0345;-1,4;-0,8;1,4298;1,3166;-1,0213;-1,6457;0,4;0,8;0,9661;1,2293;2,4152;1,5366;0,2116;0,4229;0,2525;0,4263;1,1936;1,0082;0,3469;0,2101;0,1583;0,089;0,4564;0,4235;0,0443;0,0169;0,0526;0,0357;0,0169;3,022;0,7738;0,2561;3,656;0,8003;0,2189;2,06;1,84;0;0
PORTUGAL - LIGA PORTUGAL;2020/2021;10/01/2021;BSAD;Pacos Ferreira;0;2;2,9;2,9;2,6;2,7;A;-1;-1;1,65;0,45;0,45;-1;0,3448;0,3448;0,3846;0,3704;1;0,8966;0,8966;0,931;-0,3;0,2;0,9487;0,9189;-3,1623;4,5947;1;1,4;1,1547;1,1738;1,1547;0,8384;0,4001;0,5431;0,4107;0,3724;1,0265;0,6858;0,2863;0,2835;0,1491;0,1592;0,5209;0,5614;0,0524;0;0,0545;0,0545;0,0357;3,754;1,9842;0,5286;3,472;2,2838;0,6578;1,99;1,91;-1;0,91
FRANCE - LIGUE 2;2020/2021;08/01/2021;Pau FC;Chambly;1;3;2,8;2,9;2,6;2,35;A;-1;-1;1,65;0,47;0,45;-1;0,3571;0,3448;0,3846;0,4255;1,0357;0,9286;0,8966;0,8103;0,3;-0,4;2,0028;1,3499;6,6759;-3,3747;1,5;1;1,354;0,8165;0,9027;0,8165;0,3156;0,6043;0,3855;0,6051;1,2217;1,0013;0,3044;0,1374;0,1311;0,0875;0,4306;0,6367;0,0459;0,0175;0,037;0,0545;0,1048;2,659;0,7287;0,274;5,298;1,3918;0,2627;1,98;1,88;-1;0,88
EGYPT - PREMIER LEAGUE;2020/2021;30/12/2020;El Gouna;Misr Lel Makkasa;1;0;2,8;2,9;2,45;2,5;H;1,84;-1;-1;-1;0,45;0,58;0,3571;0,3448;0,4082;0,4;1,0357;0,875;0,8448;0,8621;0,2;0,3;1,3984;1,4181;6,9921;4,7271;1,6;1,5;1,5055;1,354;0,941;0,9027;0,4155;0,4059;0,3764;0,3885;0,9057;0,9572;0,3361;0,2032;0,166;0,0843;0,4941;0,4147;0,0741;0,0175;0,0667;0,0841;0,0741;2,45;0,9;0,3674;3,552;1,87;0,5265;2;1,8;1;-1
